SAMPLE ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
SL114 msrA	3000251	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus epidermidis	2.00	0.00	2.00	3.27	48.00	150.50	0	0	0	0	N/A	N/A		1467	msr-type ABC-F protein	macrolide antibiotic; streptogramin antibiotic; streptogramin B antibiotic	antibiotic target protection
SL114 mel	3000616	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus pyogenes	194.00	0.00	194.00	99.92	1217.00	162.45	0	0	0	0	N/A	N/A		1218	msr-type ABC-F protein	macrolide antibiotic; streptogramin antibiotic	antibiotic target protection
SL114 tet(Q)	3000191	protein homolog model	CARD	1	100.0	no data	no data	Bacteroides fragilis	7.00	0.00	7.00	41.89	827.00	194.14	0	0	0	0	N/A	N/A		1974	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
SL114 tet(32)	3000196	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	9.00	0.00	9.00	52.92	1016.00	197.78	0	0	0	0	N/A	N/A		1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
SL114 mtrC	3000810	protein homolog model	CARD	1	100.0	no data	no data	Neisseria meningitidis	14.00	0.00	14.00	70.30	871.00	127.07	0	0	0	0	N/A	N/A		1239	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; penam	antibiotic efflux
SL114 ErmB	3000375	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	25.00	0.00	25.00	99.33	742.00	188.00	0	0	0	0	N/A	N/A		747	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
SL114 lmrD	3002882	protein homolog model	CARD	1	100.0	no data	no data	Lactococcus lactis	2.00	0.00	2.00	2.46	49.00	82.50	0	0	0	0	N/A	N/A		1995	ATP-binding cassette (ABC) antibiotic efflux pump	lincosamide antibiotic	antibiotic efflux
SL114 macA	3000533	protein homolog model	CARD	1	100.0	no data	no data	Neisseria gonorrhoeae	18.00	0.00	18.00	62.77	740.00	122.78	0	0	0	0	N/A	N/A		1179	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
SL114 lsaC	3003112	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus agalactiae	66.00	0.00	66.00	100.00	1479.00	167.44	0	0	0	0	N/A	N/A		1479	lsa-type ABC-F protein	lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic	antibiotic target protection
SL114 tet(M)	3000186	protein homolog model	CARD	1	100.0	no data	no data	Erysipelothrix rhusiopathiae	63.00	0.00	63.00	88.75	1704.00	191.37	0	0	0	0	N/A	N/A		1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
SL114 APH(3'')-Ib	3002639	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	22.00	0.00	22.00	100.00	804.00	187.50	0	0	0	0	N/A	N/A		804	APH(3'')	aminoglycoside antibiotic	antibiotic inactivation
SL114 CfxA3	3003003	protein homolog model	CARD	1	100.0	no data	no data	Capnocytophaga ochracea	37.00	0.00	37.00	99.38	960.00	193.81	0	0	0	0	N/A	N/A		966	CfxA beta-lactamase	cephamycin	antibiotic inactivation
SL114 mtrD	3000811	protein homolog model	CARD	1	100.0	no data	no data	Neisseria meningitidis	46.00	0.00	46.00	70.01	2243.00	126.76	0	0	0	0	N/A	N/A		3204	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; penam	antibiotic efflux
SL114 patA	3000024	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus pneumoniae	221.00	0.00	221.00	100.00	1695.00	166.95	0	0	0	0	N/A	N/A		1695	ATP-binding cassette (ABC) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
SL114 patB	3000025	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus pneumoniae	221.00	0.00	221.00	100.00	1767.00	158.03	0	0	0	0	N/A	N/A		1767	ATP-binding cassette (ABC) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
SL114 pmrA	3000822	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus pneumoniae	56.00	0.00	56.00	100.00	1200.00	168.39	0	0	0	0	N/A	N/A		1200	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
SL114 RlmA(II)	3001301	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus pneumoniae	137.00	0.00	137.00	100.00	849.00	153.90	0	0	0	0	N/A	N/A		849	non-erm 23S ribosomal RNA methyltransferase (G748)	macrolide antibiotic; lincosamide antibiotic	antibiotic target alteration
SL114 farB	3003962	protein homolog model	CARD	1	100.0	no data	no data	Neisseria meningitidis	2.00	0.00	2.00	13.10	200.00	179.00	0	0	0	0	N/A	N/A		1527	major facilitator superfamily (MFS) antibiotic efflux pump	antibacterial free fatty acids	antibiotic efflux
SL114 tetB(60)	3004036	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	12.00	0.00	12.00	57.53	1001.00	133.58	0	0	0	0	N/A	N/A		1740	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
SL114 tetA(46)	3004032	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus australis	62.00	0.00	62.00	99.36	1714.00	174.53	0	0	0	0	N/A	N/A		1725	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
SL114 tetB(46)	3004033	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus australis	42.00	0.00	42.00	97.29	1690.00	173.88	0	0	0	0	N/A	N/A		1737	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
SL114 tetA(60)	3004035	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	35.00	0.00	35.00	91.44	1591.00	148.94	0	0	0	0	N/A	N/A		1740	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
SL114 MuxB	3004074	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	4.00	0.00	4.00	9.61	301.00	90.00	0	0	0	0	N/A	N/A		3132	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic	antibiotic efflux
SL114 AxyY	3004144	protein homolog model	CARD	1	100.0	no data	no data	Achromobacter insuavis	14.00	0.00	14.00	19.89	624.00	118.86	0	0	0	0	N/A	N/A		3138	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin	antibiotic efflux
SL114 rpoB2	3000501	protein homolog model	CARD	1	100.0	no data	no data	Nocardia farcinica	54.00	0.00	54.00	53.60	1870.00	115.67	0	0	0	0	N/A	N/A		3489	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement
SL114 CSP-1	3006871	protein homolog model	CARD	1	100.0	no data	no data	Bacteria, Viruses,	3.00	0.00	3.00	45.21	415.00	121.00	0	0	0	0	N/A	N/A		918	CSP beta-lactamase	cephalosporin	antibiotic inactivation
SL114 mdeA	3007011	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus mutans	12.00	0.00	12.00	51.47	701.00	114.92	0	0	0	0	N/A	N/A		1362	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic; aminoglycoside antibiotic; penam; tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux
SL114 Bifidobacterium bifidum ileS conferring resistance to mupirocin	3003730	protein homolog model	CARD	1	100.0	no data	no data	Bifidobacterium bifidum	32.00	0.00	32.00	38.12	1267.00	106.62	0	0	0	0	N/A	N/A		3324	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	mupirocin-like antibiotic	antibiotic target alteration
SL114 Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	3004480	protein homolog model	CARD	1	100.0	no data	no data	Bifidobacterium adolescentis	92.00	0.00	92.00	60.10	2140.00	128.85	0	0	0	0	N/A	N/A		3561	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement
SL114 tet(O/M/O)	3007120	protein homolog model	CARD	1	100.0	no data	no data	Campylobacter coli	2.00	0.00	2.00	7.86	151.00	188.00	0	0	0	0	N/A	N/A		1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
SL114 mef(E)	3000614	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus pneumoniae	6.00	0.00	6.00	39.19	475.00	142.33	0	0	0	0	N/A	N/A		1212	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
SL118 mgrA	3000815	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus aureus	1.00	0.00	1.00	3.83	17.00	23.00	0	0	0	0	N/A	N/A		444	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; penam; tetracycline antibiotic; peptide antibiotic; disinfecting agents and antiseptics	antibiotic efflux
SL118 CfxA2	3003002	protein homolog model	CARD	1	100.0	no data	no data	Prevotella intermedia	15.00	0.00	15.00	53.62	518.00	196.67	0	0	0	0	N/A	N/A		966	CfxA beta-lactamase	cephamycin	antibiotic inactivation
SL118 OXA-85	3001780	protein homolog model	CARD	1	100.0	no data	no data	Fusobacterium nucleatum	3.00	0.00	3.00	29.28	224.00	138.67	0	0	0	0	N/A	N/A		765	OXA beta-lactamase	penam	antibiotic inactivation
SL118 APH(3')-Ia	3002641	protein homolog model	CARD	1	100.0	no data	no data	Serratia marcescens	38.00	0.00	38.00	99.75	814.00	192.26	0	0	0	0	N/A	N/A		816	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
SL118 TEM-1	3000873	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	6.00	0.00	6.00	44.48	383.00	192.67	0	0	0	0	N/A	N/A		861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
SL118 mtrE	3000812	protein homolog model	CARD	1	100.0	no data	no data	Neisseria gonorrhoeae	55.00	0.00	55.00	99.93	1403.00	137.69	0	0	0	0	N/A	N/A		1404	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; penam	antibiotic efflux
SL118 macB	3000535	protein homolog model	CARD	1	100.0	no data	no data	Neisseria gonorrhoeae	269.00	0.00	269.00	99.69	1929.00	136.61	0	0	0	0	N/A	N/A		1935	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
SL118 tet(W)	3000194	protein homolog model	CARD	1	100.0	no data	no data	Butyrivibrio fibrisolvens	6.00	0.00	6.00	31.25	600.00	200.17	0	0	0	0	N/A	N/A		1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
SL118 ErmF	3000498	protein homolog model	CARD	1	100.0	no data	no data	Bacteroides fragilis	2.00	0.00	2.00	36.08	289.00	199.50	0	0	0	0	N/A	N/A		801	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
SL118 AAC(6')-Iae	3002573	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	2.00	0.00	2.00	12.50	69.00	45.50	0	0	0	0	N/A	N/A		552	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
SL118 mecI	3000124	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus aureus	1.00	0.00	1.00	5.65	21.00	45.00	0	0	0	0	N/A	N/A		372	methicillin resistant PBP2	penam	antibiotic target replacement
SL118 ErmX	3000596	protein homolog model	CARD	1	100.0	no data	no data	Plasmid pNG2	3.00	0.00	3.00	37.19	318.00	108.33	0	0	0	0	N/A	N/A		855	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
SL118 sul2	3000412	protein homolog model	CARD	1	100.0	no data	no data	Vibrio cholerae	106.00	0.00	106.00	100.00	816.00	190.89	0	0	0	0	N/A	N/A		816	sulfonamide resistant sul	sulfonamide antibiotic	antibiotic target replacement
SL118 APH(6)-Id	3002660	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	98.00	0.00	98.00	100.00	837.00	188.37	0	0	0	0	N/A	N/A		837	APH(6)	aminoglycoside antibiotic	antibiotic inactivation
SL118 TEM-90	3000957	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	98.00	0.00	98.00	96.05	827.00	191.67	0	0	0	0	N/A	N/A		861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
SL118 msrA	3000251	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus epidermidis	2.00	0.00	2.00	3.89	57.00	159.00	0	0	0	0	N/A	N/A		1467	msr-type ABC-F protein	macrolide antibiotic; streptogramin antibiotic; streptogramin B antibiotic	antibiotic target protection
SL118 mel	3000616	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus pyogenes	364.00	0.00	364.00	100.00	1218.00	163.48	0	0	0	0	N/A	N/A		1218	msr-type ABC-F protein	macrolide antibiotic; streptogramin antibiotic	antibiotic target protection
SL118 catII	3002684	protein homolog model	CARD	1	100.0	no data	no data	Haemophilus influenzae	2.00	0.00	2.00	38.63	248.00	191.00	0	0	0	0	N/A	N/A		642	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
SL118 tet(Q)	3000191	protein homolog model	CARD	1	100.0	no data	no data	Bacteroides fragilis	6.00	0.00	6.00	25.43	502.00	194.83	0	0	0	0	N/A	N/A		1974	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
SL118 tet(32)	3000196	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	4.00	0.00	4.00	27.60	530.00	200.50	0	0	0	0	N/A	N/A		1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
SL118 mtrC	3000810	protein homolog model	CARD	1	100.0	no data	no data	Neisseria meningitidis	90.00	0.00	90.00	95.64	1185.00	124.63	0	0	0	0	N/A	N/A		1239	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; penam	antibiotic efflux
SL118 TEM-40	3000910	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	14.00	0.00	14.00	72.59	625.00	200.36	0	0	0	0	N/A	N/A		861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
SL118 ErmB	3000375	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	1.00	0.00	1.00	16.20	121.00	189.00	0	0	0	0	N/A	N/A		747	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
SL118 smeR	3003066	protein homolog model	CARD	1	100.0	no data	no data	Stenotrophomonas maltophilia	23.00	0.00	23.00	57.25	395.00	114.83	0	0	0	0	N/A	N/A		690	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux
SL118 mtrA	3000816	protein homolog model	CARD	1	100.0	no data	no data	Neisseria gonorrhoeae	12.00	0.00	12.00	73.18	663.00	153.42	0	0	0	0	N/A	N/A		906	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; penam	antibiotic efflux
SL118 MexD	3000801	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	23.00	0.00	23.00	26.47	829.00	111.30	0	0	0	0	N/A	N/A		3132	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
SL118 lmrD	3002882	protein homolog model	CARD	1	100.0	no data	no data	Lactococcus lactis	5.00	0.00	5.00	5.36	107.00	90.00	0	0	0	0	N/A	N/A		1995	ATP-binding cassette (ABC) antibiotic efflux pump	lincosamide antibiotic	antibiotic efflux
SL118 macA	3000533	protein homolog model	CARD	1	100.0	no data	no data	Neisseria gonorrhoeae	89.00	0.00	89.00	98.98	1167.00	141.43	0	0	0	0	N/A	N/A		1179	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
SL118 lsaC	3003112	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus agalactiae	105.00	0.00	105.00	100.00	1479.00	150.05	0	0	0	0	N/A	N/A		1479	lsa-type ABC-F protein	lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic	antibiotic target protection
SL118 aadA16	3002616	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	1.00	0.00	1.00	2.48	21.00	34.00	0	0	0	0	N/A	N/A		846	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
SL118 mexY	3003033	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	22.00	0.00	22.00	28.46	894.00	59.41	0	0	0	0	N/A	N/A		3141	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
SL118 tet(M)	3000186	protein homolog model	CARD	1	100.0	no data	no data	Erysipelothrix rhusiopathiae	147.00	0.00	147.00	100.00	1920.00	185.56	0	0	0	0	N/A	N/A		1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
SL118 APH(3'')-Ib	3002639	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	133.00	0.00	133.00	100.00	804.00	190.78	0	0	0	0	N/A	N/A		804	APH(3'')	aminoglycoside antibiotic	antibiotic inactivation
SL118 CfxA3	3003003	protein homolog model	CARD	1	100.0	no data	no data	Capnocytophaga ochracea	99.00	0.00	99.00	100.00	966.00	193.07	0	0	0	0	N/A	N/A		966	CfxA beta-lactamase	cephamycin	antibiotic inactivation
SL118 mtrD	3000811	protein homolog model	CARD	1	100.0	no data	no data	Neisseria meningitidis	356.00	0.00	356.00	100.00	3204.00	132.06	0	0	0	0	N/A	N/A		3204	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; penam	antibiotic efflux
SL118 TEM-57	3000926	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	4.00	0.00	4.00	34.84	300.00	200.00	0	0	0	0	N/A	N/A		861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
SL118 patA	3000024	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus pneumoniae	389.00	0.00	389.00	100.00	1695.00	168.26	0	0	0	0	N/A	N/A		1695	ATP-binding cassette (ABC) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
SL118 patB	3000025	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus pneumoniae	337.00	0.00	337.00	100.00	1767.00	163.70	0	0	0	0	N/A	N/A		1767	ATP-binding cassette (ABC) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
SL118 pmrA	3000822	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus pneumoniae	165.00	0.00	165.00	100.00	1200.00	167.65	0	0	0	0	N/A	N/A		1200	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
SL118 RlmA(II)	3001301	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus pneumoniae	179.00	0.00	179.00	100.00	849.00	155.76	0	0	0	0	N/A	N/A		849	non-erm 23S ribosomal RNA methyltransferase (G748)	macrolide antibiotic; lincosamide antibiotic	antibiotic target alteration
SL118 hmrM	3003953	protein homolog model	CARD	1	100.0	no data	no data	Haemophilus influenzae	6.00	0.00	6.00	48.75	680.00	141.33	0	0	0	0	N/A	N/A		1395	multidrug and toxic compound extrusion (MATE) transporter	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux
SL118 farA	3003961	protein homolog model	CARD	1	100.0	no data	no data	Neisseria meningitidis	39.00	0.00	39.00	78.79	910.00	142.95	0	0	0	0	N/A	N/A		1155	major facilitator superfamily (MFS) antibiotic efflux pump	antibacterial free fatty acids	antibiotic efflux
SL118 farB	3003962	protein homolog model	CARD	1	100.0	no data	no data	Neisseria meningitidis	19.00	0.00	19.00	66.27	1012.00	156.47	0	0	0	0	N/A	N/A		1527	major facilitator superfamily (MFS) antibiotic efflux pump	antibacterial free fatty acids	antibiotic efflux
SL118 tetB(60)	3004036	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	11.00	0.00	11.00	57.47	1000.00	133.18	0	0	0	0	N/A	N/A		1740	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
SL118 tetA(46)	3004032	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus australis	11.00	0.00	11.00	55.88	964.00	149.64	0	0	0	0	N/A	N/A		1725	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
SL118 tetB(46)	3004033	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus australis	14.00	0.00	14.00	64.88	1127.00	159.50	0	0	0	0	N/A	N/A		1737	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
SL118 tetA(60)	3004035	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	21.00	0.00	21.00	73.22	1274.00	156.19	0	0	0	0	N/A	N/A		1740	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
SL118 Enterobacter cloacae acrA	3004042	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	1.00	0.00	1.00	1.51	18.00	34.00	0	0	0	0	N/A	N/A		1194	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
SL118 MuxB	3004074	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	29.00	0.00	29.00	28.96	907.00	124.97	0	0	0	0	N/A	N/A		3132	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic	antibiotic efflux
SL118 AxyY	3004144	protein homolog model	CARD	1	100.0	no data	no data	Achromobacter insuavis	33.00	0.00	33.00	28.17	884.00	135.27	0	0	0	0	N/A	N/A		3138	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin	antibiotic efflux
SL118 rpoB2	3000501	protein homolog model	CARD	1	100.0	no data	no data	Nocardia farcinica	44.00	0.00	44.00	49.81	1738.00	121.45	0	0	0	0	N/A	N/A		3489	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement
SL118 LpsA	3005052	protein homolog model	CARD	1	100.0	no data	no data	Haemophilus influenzae	5.00	0.00	5.00	45.65	352.00	146.80	0	0	0	0	N/A	N/A		771	Intrinsic peptide antibiotic resistant Lps	peptide antibiotic	reduced permeability to antibiotic
SL118 CSP-1	3006871	protein homolog model	CARD	1	100.0	no data	no data	Bacteria, Viruses,	41.00	0.00	41.00	100.00	918.00	130.02	0	0	0	0	N/A	N/A		918	CSP beta-lactamase	cephalosporin	antibiotic inactivation
SL118 Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	3004480	protein homolog model	CARD	1	100.0	no data	no data	Bifidobacterium adolescentis	90.00	0.00	90.00	49.45	1761.00	117.54	0	0	0	0	N/A	N/A		3561	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement
SL118 tet(O/M/O)	3007120	protein homolog model	CARD	1	100.0	no data	no data	Campylobacter coli	18.00	0.00	18.00	21.04	404.00	182.17	0	0	0	0	N/A	N/A		1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
SL118 TEM-244	3007453	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	6.00	0.00	6.00	44.95	387.00	200.83	0	0	0	0	N/A	N/A		861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
SL125 CfxA2	3003002	protein homolog model	CARD	1	100.0	no data	no data	Prevotella intermedia	120.00	0.00	120.00	100.00	966.00	189.62	0	0	0	0	N/A	N/A		966	CfxA beta-lactamase	cephamycin	antibiotic inactivation
SL125 OXA-85	3001780	protein homolog model	CARD	1	100.0	no data	no data	Fusobacterium nucleatum	5.00	0.00	5.00	77.25	591.00	198.60	0	0	0	0	N/A	N/A		765	OXA beta-lactamase	penam	antibiotic inactivation
SL125 lnuC	3002837	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus agalactiae	3.00	0.00	3.00	61.01	302.00	200.00	0	0	0	0	N/A	N/A		495	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
SL125 mtrE	3000812	protein homolog model	CARD	1	100.0	no data	no data	Neisseria gonorrhoeae	57.00	0.00	57.00	52.99	744.00	119.82	0	0	0	0	N/A	N/A		1404	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; penam	antibiotic efflux
SL125 tet(B)	3000166	protein homolog model	CARD	1	100.0	no data	no data	Gram-negative bacterium	4.00	0.00	4.00	44.61	538.00	200.50	0	0	0	0	N/A	N/A		1206	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
SL125 macB	3000535	protein homolog model	CARD	1	100.0	no data	no data	Neisseria gonorrhoeae	210.00	0.00	210.00	99.33	1922.00	142.50	0	0	0	0	N/A	N/A		1935	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
SL125 ErmF	3000498	protein homolog model	CARD	1	100.0	no data	no data	Bacteroides fragilis	6.00	0.00	6.00	52.81	423.00	183.00	0	0	0	0	N/A	N/A		801	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
SL125 ErmX	3000596	protein homolog model	CARD	1	100.0	no data	no data	Plasmid pNG2	6.00	0.00	6.00	47.37	405.00	145.50	0	0	0	0	N/A	N/A		855	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
